Name,Frequency,Size,Src
libkcapi-hmaccalc-1.4.0-2.fc37.x86_64,1,37001,libkcapi-1.4.0-2.fc37.src.rpm
libss-1.46.5-3.fc37.x86_64,0,36848,e2fsprogs-1.46.5-3.fc37.src.rpm
libdaemon-0.14-24.fc37.x86_64,0,36280,libdaemon-0.14-24.fc37.src.rpm
libnfnetlink-1.0.1-22.fc37.x86_64,0,35752,libnfnetlink-1.0.1-22.fc37.src.rpm
rpm-ostree-libs-2022.16-1.fc37.x86_64,15,35064,rpm-ostree-2022.16-1.fc37.src.rpm
libuuid-2.38.1-1.fc37.x86_64,5,34535,util-linux-2.38.1-1.fc37.src.rpm
libnsl2-2.0.0-4.fc37.x86_64,0,33064,libnsl2-2.0.0-4.fc37.src.rpm
device-mapper-event-libs-1.02.175-9.fc37.x86_64,0,32864,lvm2-2.03.11-9.fc37.src.rpm
file-5.42-4.fc37.x86_64,4,30673,file-5.42-4.fc37.src.rpm
libverto-0.3.2-4.fc37.x86_64,0,29630,libverto-0.3.2-4.fc37.src.rpm
